time,dev1,dev2,connection
20470.0,1,32,up
20495.0,23,32,up
20502.0,1,32,up
20529.0,7,20,up
20531.0,9,25,up
20532.0,2,15,up
20555.0,1,23,up
20555.0,23,32,up
20592.0,9,25,up
20652.0,2,15,up
20680.0,1,32,up
20681.0,9,25,up
20742.0,9,25,up
20832.0,1,32,up
20892.0,1,32,up
20942.0,1,23,up
20950.0,1,32,up
20951.0,9,25,up
20983.0,23,32,up
21010.0,1,23,up
21100.0,1,23,up
21128.0,2,15,up
21213.0,1,23,up
21219.0,7,13,up
21303.0,23,32,up
21310.0,1,32,up
21371.0,1,32,up
21402.0,9,25,up
21430.0,1,32,up
21490.0,1,32,up
21497.0,30,40,up
21518.0,9,25,up
21556.0,30,40,up
21578.0,9,25,up
21580.0,2,15,up
21617.0,30,40,up
21642.0,1,32,up
21724.0,30,40,up
21753.0,23,32,up
21766.0,30,40,up
21787.0,2,15,up
21820.0,2,15,up
21877.0,2,15,up
21881.0,1,32,up
21910.0,2,15,up
21943.0,1,32,up
21971.0,1,23,up
22002.0,1,32,up
22062.0,9,25,up
22181.0,1,32,up
22233.0,23,32,up
22239.0,9,25,up
22263.0,23,32,up
22267.0,2,15,up
22332.0,9,25,up
22419.0,9,25,up
22424.0,23,32,up
22450.0,2,15,up
22473.0,23,32,up
22508.0,2,15,up
22539.0,9,25,up
22572.0,9,25,up
22598.0,2,15,up
22632.0,9,25,up
22653.0,23,32,up
22713.0,1,23,up
22751.0,1,23,up
22754.0,23,32,up
22842.0,1,23,up
22898.0,2,15,up
22934.0,23,32,up
22964.0,23,32,up
22988.0,2,15,up
23054.0,23,32,up
23104.0,23,32,up
23109.0,2,15,up
23139.0,2,15,up
23144.0,23,32,up
23172.0,1,23,up
23199.0,2,15,up
23234.0,23,32,up
23259.0,2,15,up
23384.0,1,32,up
23704.0,23,32,up
23709.0,9,25,up
23741.0,2,15,up
23802.0,1,23,up
23829.0,9,25,up
23853.0,23,32,up
23883.0,23,32,up
23949.0,17,28,up
23949.0,9,25,up
23954.0,23,32,up
23978.0,17,28,up
24011.0,38,39,up
24033.0,23,32,up
24038.0,17,28,up
24041.0,38,39,up
24074.0,23,32,up
24099.0,9,25,up
24132.0,1,23,up
24132.0,1,32,up
24193.0,17,28,up
24219.0,9,25,up
24244.0,23,32,up
24252.0,38,39,up
24314.0,23,32,up
24334.0,1,23,up
24342.0,17,28,up
24342.0,38,39,up
24344.0,1,32,up
24344.0,23,32,up
24371.0,9,25,up
24372.0,1,23,up
24402.0,1,23,up
24433.0,17,28,up
24484.0,1,23,up
24489.0,2,15,up
24492.0,17,28,up
24544.0,23,32,up
24574.0,1,23,up
24639.0,2,15,up
24673.0,17,28,up
24704.0,23,32,up
24715.0,17,39,up
24715.0,28,39,up
24724.0,1,23,up
24731.0,2,15,up
24733.0,17,28,up
24754.0,23,32,up
24757.0,9,25,up
24761.0,2,15,up
24775.0,38,39,up
24820.0,9,25,up
24824.0,23,32,up
24836.0,38,39,up
24852.0,1,32,up
24874.0,23,32,up
24913.0,17,28,up
24913.0,19,27,up
24972.0,38,39,up
24999.0,2,15,up
25003.0,28,38,up
25004.0,19,27,up
25032.0,2,15,up
25058.0,17,28,up
25075.0,38,39,up
25118.0,17,28,up
25124.0,19,27,up
25149.0,2,15,up
25209.0,17,28,up
25214.0,19,27,up
25215.0,23,32,up
25239.0,2,15,up
25242.0,7,13,up
25243.0,17,28,up
25255.0,38,39,up
25270.0,9,25,up
25274.0,23,32,up
25285.0,28,39,up
25293.0,1,23,up
25359.0,17,39,up
25386.0,23,32,up
25389.0,17,28,up
25393.0,1,23,up
25420.0,9,25,up
25445.0,23,32,up
25453.0,1,23,up
25481.0,2,15,up
25505.0,1,23,up
25512.0,17,28,up
25512.0,2,15,up
25512.0,28,38,up
25535.0,23,32,up
25572.0,2,15,up
25596.0,9,25,up
25602.0,17,28,up
25626.0,9,25,up
25631.0,2,15,up
25662.0,28,38,up
25715.0,23,32,up
25721.0,2,15,up
25746.0,9,25,up
25780.0,17,39,up
25782.0,28,38,up
25786.0,1,32,up
25805.0,23,32,up
25809.0,2,15,up
25836.0,9,25,up
25843.0,1,23,up
25846.0,23,32,up
25869.0,17,39,up
25903.0,1,32,up
25906.0,23,32,up
25929.0,17,39,up
25932.0,28,38,up
25959.0,2,15,up
25986.0,9,25,up
25990.0,17,38,up
25993.0,17,28,up
26019.0,17,39,up
26045.0,23,32,up
26049.0,17,38,up
26053.0,28,38,up
26080.0,9,25,up
26083.0,1,23,up
26083.0,28,39,up
26086.0,1,32,up
26086.0,23,32,up
26135.0,23,32,up
26136.0,9,25,up
26140.0,2,15,up
26143.0,1,23,up
26143.0,17,28,up
26173.0,28,38,up
26200.0,2,15,up
26233.0,28,39,up
26236.0,23,32,up
26255.0,1,23,up
26261.0,9,25,up
26262.0,2,15,up
26293.0,17,28,up
26322.0,2,15,up
26323.0,1,23,up
26323.0,28,38,up
26350.0,17,28,up
26350.0,17,38,up
26356.0,23,32,up
26386.0,1,32,up
26435.0,1,23,up
26435.0,23,32,up
26440.0,17,28,up
26440.0,17,39,up
26443.0,28,38,up
26471.0,9,25,up
26506.0,1,32,up
26563.0,1,32,up
26596.0,23,32,up
26623.0,1,23,up
26624.0,19,27,up
26711.0,9,25,up
26712.0,2,15,up
26769.0,2,15,up
26770.0,17,39,up
26772.0,9,25,up
26830.0,17,28,up
26831.0,9,25,up
26866.0,1,32,up
26885.0,23,32,up
26890.0,17,28,up
26892.0,2,15,up
26915.0,1,23,up
26915.0,23,32,up
26950.0,2,15,up
26953.0,1,32,up
26982.0,2,15,up
27010.0,17,39,up
27043.0,28,38,up
27072.0,2,15,up
27073.0,1,32,up
27073.0,17,28,up
27103.0,17,28,up
27103.0,28,39,up
27160.0,17,38,up
27163.0,28,39,up
27223.0,7,13,up
27245.0,23,32,up
27283.0,28,39,up
27284.0,1,23,up
27310.0,17,28,up
27310.0,17,39,up
27335.0,23,32,up
27341.0,2,15,up
27343.0,17,28,up
27368.0,9,25,up
27370.0,17,39,up
27406.0,23,32,up
27430.0,17,39,up
27431.0,9,25,up
27433.0,17,28,up
27433.0,2,15,up
27455.0,23,32,up
27463.0,28,39,up
27492.0,1,23,up
27520.0,17,38,up
27526.0,23,32,up
27547.0,9,25,up
27553.0,28,38,up
27557.0,1,32,up
27583.0,28,39,up
27586.0,1,32,up
27610.0,17,39,up
27668.0,9,25,up
27671.0,2,15,up
27673.0,28,39,up
27703.0,2,15,up
27733.0,17,28,up
27760.0,17,38,up
27763.0,28,39,up
27791.0,17,28,up
27793.0,28,38,up
27822.0,1,32,up
27823.0,2,15,up
27852.0,1,23,up
27881.0,2,15,up
27884.0,28,38,up
27886.0,1,32,up
27912.0,1,23,up
27912.0,9,25,up
27914.0,19,27,up
27970.0,17,39,up
27971.0,2,15,up
27977.0,23,32,up
28000.0,17,38,up
28007.0,1,32,up
28031.0,2,15,up
28033.0,28,39,up
28060.0,17,38,up
28063.0,17,28,up
28064.0,19,27,up
28094.0,28,39,up
28127.0,1,32,up
28153.0,17,28,up
28180.0,17,38,up
28182.0,9,25,up
28216.0,1,32,up
28244.0,19,27,up
28246.0,23,32,up
28247.0,16,45,up
28270.0,17,28,up
28273.0,2,15,up
28273.0,28,39,up
28300.0,17,28,up
28300.0,17,39,up
28332.0,1,32,up
28333.0,28,38,up
28334.0,19,27,up
28388.0,9,25,up
28392.0,1,23,up
28394.0,19,27,up
28506.0,23,32,up
28548.0,8,45,up
28600.0,17,39,up
28601.0,2,15,up
28633.0,28,38,up
28638.0,8,45,up
28661.0,2,15,up
28663.0,17,28,up
28666.0,19,27,up
28705.0,6,36,up
28721.0,17,28,up
